process,relevant,sentiment,gender,dizziness,convulsions,heart palpitations,shortness of breathe,headaches,drug effect decreased,allergies worse after taking drug,bad interaction between claritin and another drug.,nausea ,caused insomnia
jonathanrknight nurse take lot claritin gel best opinion tho know last one,yes,4,male,no,no,no,no,no,no,no,no,no,no
jonathanrknight claritin nurse mum right one said work,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight try one day switch see best waste time claritin,yes,2,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight hate allergy season use claritin really help time sleep benedryl always help,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight pa claritin allergy kicking claritin aint touching eye glued shut,yes,2,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight nurse claritin work best know got horrible allergy p feel better jon xoxo lt,yes,5,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight claritin le side effect,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
jonathanrknight claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight drug store claritin work fine saynotometh,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight allegra zyrtec claritin work shit allergy matter feel better,yes,1,female,no,no,no,no,no,no,yes,no,no,no
shytowne jonathanrknight take claritin make drowsy zyrtec work sometimes,yes,2,male,no,no,no,no,no,no,no,no,no,no
jonathanrknight nurse allegra claritin zyrtec different ingredient best claritin work faster,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight personally prefer claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
sick give claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
jonathanrknight claritin xr,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
jonathanrknight allergy crazy went doc got claritin inhaler hope u feel better,yes,3,female,no,no,no,no,no,no,no,no,no,no
claritin stay inside lol rt jonathanrknight nurse allegra claritin zyrtec different ingredient best,yes,3,female,no,no,no,no,no,no,no,no,no,no
settled jonathanrknight allegra newer generation antihistamine available otc claritin amp zyrtec nd generation,yes,3,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight zyrtec made allergy allegra claritin cold get well kind sir,yes,3,male,no,no,no,no,no,no,no,no,no,no
rt jonathanrknight nurse allegra claritin zyrtec zyrtec indoor outdoor claritin outdoor allegra go zyrtec allegra,yes,3,female,no,no,no,no,no,no,no,no,no,no
goldustgirl taking albuterol along claritin take allergy dr,yes,3,female,no,no,no,no,no,no,no,no,no,no
ew claritin taste bad,yes,2,female,no,no,no,no,no,no,no,no,no,no
sick give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
jonathanrknight took claritin worked sleep,yes,3,male,no,no,no,no,no,no,no,no,no,yes
jonathanrknight claritin make sleepy need day,yes,3,male,no,no,no,no,no,no,no,no,no,no
toninaay pop claritin id give could hope go away,yes,4,female,no,no,no,no,no,no,no,no,no,no
hope theraflu range juice motrin amp claritin work wonder,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
jonathanrknight better claritin co u suffer drowsiness suitable u,yes,4,female,no,no,no,no,no,no,no,no,no,no
girl sends text heyy im sick want claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
jonathanrknight nurse allergy stuffier suggest zyrtec allegra claritin shit,yes,2,female,no,no,no,no,no,no,yes,no,no,no
jonathanrknight claritin way,yes,4,male,no,no,no,no,no,no,no,no,no,no
sure extreme allergic reaction something benadryl claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight claritin sister u prefers zyrtec,yes,4,female,no,no,no,no,no,no,no,no,no,no
use nature way cause work best rt jonathanrknight nurse allegra claritin zyrtec best,yes,3,female,no,no,no,no,no,no,no,no,no,no
girl sends text heyy im sick want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
ib ub take claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
jonathanrknight zyrtec daily use definitely give day work well claritin cause nose bleeds amp u drink juice w allegra,yes,2,female,no,no,no,no,no,no,no,no,no,no
girl tell hey sick probably want claritin shewantsthed,yes,3,female,no,no,no,no,no,no,no,no,no,no
sick give claritin aaaaaaah heyullnauw yo weakass ibelongtojesus,yes,4,male,no,no,no,no,no,no,no,no,no,no
girl sends text saying hey sick want claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight nurse allegra claritin zyrtec different ingredient best love called rn,yes,3,female,no,no,no,no,no,no,no,no,no,no
claritin baby rt jonathanrknight nurse allegra claritin zyrtec different ingredient best,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
victorious agree claritin work u use every day allegra work allergic cat amp help,yes,4,female,no,no,no,no,no,no,no,no,no,no
zyrtec used amp one work amp sinus wash rt jonathanrknight nurse allegra claritin zyrtec,yes,3,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight nurse claritin allegra taken period time effective zyrtec work within hour,yes,2,male,no,no,no,no,no,no,no,no,no,no
jonathanrknight hi jon nurse allergy sucking life long take claritin real crisis relief quickly,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight like claritin personal preference work person nothing others trial amp error,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight nurse real bad allergy claritin far best,yes,5,female,no,no,no,no,no,no,no,no,no,no
anyone know take claritin benadryl time breathe claritin cutting alone,yes,2,male,no,no,no,no,no,yes,no,no,no,no
taken zyrtecs claritin benadryl congestion spray still sneezing damn,yes,2,female,no,no,no,no,no,no,yes,no,no,no
fuck claritin anything,yes,1,female,no,no,no,no,no,no,no,no,no,no
could really use claritin right,yes,4,female,no,no,no,no,no,no,no,no,no,no
goal tomorrow take claritin probably forget one remind pwease,yes,3,female,no,no,no,no,no,no,no,no,no,no
isingaybe poor u take claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
jonathanrknight used claritin zyrtec year wystamm work well new one market take care xoxo,yes,4,female,no,no,no,no,no,no,no,no,no,no
christynrhea take claritin kirkland one generic brand work fast n real good jes started taking,yes,4,female,no,no,no,no,no,no,no,no,no,no
jamawakawala girl sends text saying heyy im sick want claritin lmfaaaaaooooo deaaad,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight use claritin amp zyrtec,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
shanzy sure claritin making droway,yes,3,male,no,no,no,no,no,no,no,no,no,no
jonathanrknight like allegra claritin depends work,yes,4,female,no,no,no,no,no,no,no,no,no,no
themsblackinese still awake grab nyquil claritin knock right lol,yes,4,male,no,no,no,no,no,no,no,no,no,no
jonathanrknight nurse say claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight claritin weak antihistamine zyrtec good sedating allegra hr non sedating indoor outdoor sxs,yes,2,female,no,no,no,no,no,no,no,no,no,no
claritin best careful cuz may make heart race amp cause agitation may also want try netty pot good luck,yes,4,bad_link_or_company,no,no,yes,no,no,no,no,no,no,no
jonathanrknight claritin careful could cause agitation amp racing heart maybe try netty pot good luck allergy suck,yes,2,female,no,no,yes,no,no,no,no,no,no,no
cough syrup claritin antibiotic inhaler medsroutine hateit,yes,3,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight rec patient claritin even use netty pot help clear congestion sudafed raise blood press,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight nurse amp think claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight would go claritin safest choice,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight crystal meth u joker u could yeah u wanna end hole scar skin lol say claritin,yes,2,female,no,no,no,no,no,no,no,no,no,no
rt jonathanrknight nurse allegra claritin zyrtec different ingredient best,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
fuck hear like year old right wanna force feed pediatrician antibiotic claritin see happens,yes,2,male,no,no,no,no,no,no,no,yes,no,no
jonathanrknight entirely depends allegra claritin nothing zyrtec wonder drug heard opposite others,yes,2,female,no,no,no,no,no,yes,no,no,no,no
girl sends text heyy im sick want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
jonathanrknight start w claritin usually tell patient get generic loratadine zyrtec allegra,yes,3,female,no,no,no,no,no,no,no,no,no,no
allergy attack train anyone claritin nasonex goingtobealongday helpme train,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight claritin u want sleepy zyrtec bedtime hope u feel better,yes,4,male,no,no,no,no,no,no,no,no,no,yes
god bless maker claritin,yes,5,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight ever sleep child lol upatallhoursofthenight p sorry spelled claritin wrong last night hatespellingmistakes,yes,3,female,no,no,no,no,no,no,no,no,no,no
valentina yes lol sneezing amp watery eye take anything claritin work wonder,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
jaystancil thursday armed w claritin zicam emergen c gotta good day,yes,4,female,no,no,no,no,no,no,no,no,no,no
ever happened jeff corwin supposedly claritin commercial,yes,3,female,no,no,no,no,no,no,no,no,no,no
oooh used favorite irish meatball ever happened jeff corwin supposedly claritin commercial,yes,3,female,no,no,no,no,no,no,no,no,no,no
lynnrebecca allergy attack train anyone claritin nasonex goingtobealongday oh nose spray missy,yes,4,female,no,no,no,no,no,no,no,yes,no,no
rt jonathanrknight nurse allegra claritin zyrtec different ingredient best,yes,3,male,no,no,no,no,no,no,no,no,no,no
half done reworking blog amoxicillin claritin w yogurt x day next day feel like crap blogger overcomer,yes,3,female,no,no,no,no,no,no,no,no,no,no
might lose voice today keeping allergy check generic claritin still issue,yes,2,unknown,no,no,no,no,no,no,no,no,no,no
equate allergy relief loratadine mg tablet compare nclaritin review amp rating,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
already going comfort zone dropped claritin ground typically take took anyways,yes,3,male,no,no,no,no,no,no,no,no,no,no
benoasan cette ann e il n avait pa beaucoup de pollen je sais pa trop mais bon je vais faire de provision de claritin,non_english,,,,,,,,,,,,
mactanglawin madami ba allergy mo pag madami inom ka ng antamin mg tablet para mabilis pag kunti naman inun kalng ng claritin,non_english,,,,,,,,,,,,
mactanglawin claritin loratadine generic yan mg tab din yan obrserve mo kung kumukuha hour,non_english,,,,,,,,,,,,
today going fantastic woke late take claritin last night yaythursday,yes,3,female,no,no,no,no,no,no,no,no,no,no
mactanglawin oo claritin nalang loratadine mg lng po,non_english,,,,,,,,,,,,
rt jonathanrknight nurse allegra claritin zyrtec different ingredient best,yes,3,male,no,no,no,no,no,no,no,no,no,no
benoasan je fais tout venir de france j ai un traitement pour l ann e sinon oui claritin c est prescrit ici,non_english,,,,,,,,,,,,
sushgirl also able take anything prevent sneezing like claritin zyrtec eliminate irritation,yes,3,female,no,no,no,no,no,no,no,no,no,no
katehudkins claritin every hr dayquil sinus single capsule morning,yes,3,female,no,no,no,no,no,no,no,no,no,no
clarissapc cla tenta claritin nao da sono e eu acho mais potente que allegra,non_english,,,,,,,,,,,,
toucherandrich claritin sudafed,yes,2,female,no,no,no,no,no,no,no,no,no,no
toucherandrich maybe claritin still sudafed,yes,3,female,no,no,no,no,no,no,no,no,no,no
clarissapc cla tenta claritin nao da sono e eu acho mais potente que allegra,non_english,,,,,,,,,,,,
meredithmo sure really need pound claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
nczeitgeist claritin make loopy sure wanna go route seasonal allergy several year came back,yes,2,female,yes,no,no,no,no,no,no,no,no,no
meredithmo sure crazy well claritin work though guessing surgery would cost lot candy,yes,4,male,no,no,no,no,no,no,no,no,no,no
mom said grounded threatening overdose claritin,yes,2,female,no,no,no,no,no,no,no,no,no,no
good god someone bring claritin feel like face gonna explode,yes,4,male,no,no,no,no,no,no,no,no,no,no
ever od claritin accident one day work sh amazing betterhighthanweed,yes,4,male,no,no,no,no,no,no,no,no,no,no
desperate need claritin help,yes,3,female,no,no,no,no,no,no,no,no,no,no
dreadhead lol well get sun claritin benadryl,yes,4,female,no,no,no,no,no,no,no,no,no,no
blazinglily bummer hit claritin,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
want claritin clear,yes,4,female,no,no,no,no,no,no,no,no,no,no
reason woke morning enthusiastic social medium maybe claritin took,yes,4,male,no,no,no,no,no,no,no,no,no,no
mariiisan bah mari claritin pra mim balinha e eu sou super resistente quanto tomar corticoide passando muito mal,non_english,,,,,,,,,,,,
visine claritin love,yes,4,male,no,no,no,no,no,no,no,no,no,no
ericaparedes claritin save cant take,yes,4,female,no,no,no,no,no,no,no,no,no,no
need claritin badly,yes,5,female,no,no,no,no,no,no,no,no,no,no
claritin saving commissary bonus mfr coupon military,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
rt mymilitarysvgs claritin saving commissary bonus mfr coupon military vettroops sot,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
claritin work,yes,3,female,no,no,no,no,no,no,no,no,no,no
downtownbrownn way claritin clear lol,yes,4,female,no,no,no,no,no,no,no,no,no,no
call claritin want help decongest,yes,4,female,no,no,no,no,no,no,no,no,no,no
going purchase claritin b c life sinus hell,yes,4,female,no,no,no,no,no,no,no,no,no,no
katybulimia yeah couple time seen suspected tit claritin justsaying,yes,3,male,no,no,no,no,no,no,no,no,no,no
barbieline quite mom bring claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
customer came bought breakfast claritin allergy haha today gonna good day,yes,4,male,no,no,no,no,no,no,no,no,no,no
something tell going get stuck cat lady life invest claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
snorelaxer claritin would awesome right allergy,yes,5,male,no,no,no,no,no,no,no,no,no,no
woke wit allergy bout pop sme claritin get wrk,yes,4,female,no,no,no,no,no,no,no,no,no,no
wyclef claritin get today nothing,yes,4,female,no,no,no,no,no,no,no,no,no,no
sick give allegra alexxcain give claritin andrew ardoin take bol gavinsantangelo isad,yes,3,male,no,no,no,no,no,no,no,yes,no,no
today better claritin cashier every day better something either idiotic brilliant also depressing,yes,4,male,no,no,no,no,no,no,no,no,no,no
even claritin able help allergy siiiick,yes,2,female,no,no,no,no,no,no,no,no,no,no
necesito una claritin asap,non_english,,,,,,,,,,,,
perico rt wiilita marie necesito una claritin asap,non_english,,,,,,,,,,,,
kamandermainy sinus pressure business got mine u hate claritin clear right tho,yes,4,female,no,no,no,no,no,no,no,no,no,no
hey hustler corner know drug would buy claritin never,yes,3,male,no,no,no,no,no,no,no,no,no,no
allergy probably want claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
loratadine v generic loratadine v generic claritin farmacia loratadine tag,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
need claritin something runny nose getting old,yes,3,female,no,no,no,no,no,no,no,no,no,no
taking claritin ibuprofen course red bull cure cold miraclecure,yes,3,male,no,no,no,no,no,no,no,no,no,no
alexbequiet naw nigga gotta go lmfao gotta live nigga claritin grow tree dawg bahaaha,yes,3,male,no,no,no,no,no,no,no,no,no,no
really need one claritin today,yes,4,female,no,no,no,no,no,no,no,no,no,no
hopped claritin today haze,yes,4,female,no,no,no,no,no,no,no,no,no,no
tondanicole taking claritin last day amp help sneezing mucus etc make itch amp swell throat,yes,2,male,no,no,no,no,no,no,no,no,no,no
seriously guy invest kleenex amp claritin grossing fuck officeproblems,yes,4,female,no,no,no,no,no,no,no,no,no,no
tanner cold giver claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
claritin work miracle,yes,4,male,no,no,no,no,no,no,no,no,no,no
z pak claritin coffee oh gosh,yes,4,female,no,no,no,no,no,no,no,no,no,no
jonathanrknight missed newer generation start w allegra go claritin zyrtec envy,yes,3,female,no,no,no,no,no,no,no,no,no,no
someone must slipped claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
claritin pls work,yes,4,female,no,no,no,no,no,no,no,no,no,no
jtforbach hear people wheeze sneezing allergen hacking people take claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
girlfirend allergy giver claritin forobviousreasons,yes,4,male,no,no,no,no,no,no,no,no,no,no
reading fundamental swallowed two chewable claritin tablet smh,yes,3,female,no,no,no,no,no,no,no,no,no,no
axelforeal would recommend either claritin zyrtec pick counter local pharmacy,yes,4,male,no,no,no,no,no,no,no,no,no,no
ccarbone writer take loratidine claritin zyrtec strict decongestant product recommend pseudoephedrine,yes,3,male,no,no,no,no,no,no,no,no,no,no
